Wavelength,Intensity
482.791,3306778.333333333
483.0,3389625.0
483.21,3378050.0
483.419,3347068.333333333
483.628,3424648.333333333
483.838,3466358.3333333335
484.047,3451688.3333333335
484.257,3465379.9999999995
484.466,3479200.0
484.675,3533890.0
484.885,3526531.6666666665
485.094,3576058.333333333
485.303,3568126.6666666665
485.512,3614430.0
485.722,3627551.666666667
485.931,3638016.6666666665
486.14,3687095.0
486.349,3717849.9999999995
486.559,3747323.333333333
486.768,3785254.9999999995
486.977,3766673.3333333335
487.186,3825906.6666666665
487.395,3803286.666666667
487.605,3827183.333333333
487.814,3837751.6666666665
488.023,3825971.666666667
488.232,3889610.0
488.441,3884025.0
488.65,3896431.6666666665
488.859,3922080.0
489.068,3923291.6666666665
489.277,3981091.6666666665
489.486,4007391.6666666665
489.695,4016736.6666666665
489.904,4035506.6666666665
490.113,4083890.0
490.322,4109881.6666666665
490.531,4087791.6666666665
490.74,4153965.0
490.949,4127551.666666667
491.158,4203498.333333334
491.367,4204456.666666667
491.576,4190186.6666666665
491.785,4218083.333333333
491.994,4228916.666666667
492.203,4263516.666666666
492.412,4231255.0
492.62,4280251.666666666
492.829,4296458.333333333
493.038,4302971.666666667
493.247,4325468.333333333
493.456,4321668.333333333
493.664,4373468.333333333
493.873,4396436.666666666
494.082,4396153.333333333
494.291,4425518.333333333
494.499,4442585.0
494.708,4483148.333333333
494.917,4482565.0
495.126,4517168.333333333
495.334,4526610.0
495.543,4536883.333333333
495.751,4543256.666666667
495.96,4577381.666666667
496.169,4563845.0
496.377,4598946.666666667
496.586,4579466.666666666
496.795,4600541.666666667
497.003,4593646.666666667
497.212,4607118.333333333
497.42,4651498.333333334
497.629,4631386.666666667
497.837,4655528.333333333
498.046,4695840.0
498.254,4667533.333333333
498.463,4719036.666666667
498.671,4689426.666666667
498.88,4769410.0
499.088,4773133.333333333
499.297,4786685.0
499.505,4804788.333333333
499.713,4843400.0
499.922,4872310.0
500.13,4852540.0
500.338,4870740.0
500.547,4912010.0
500.755,4921328.333333333
500.963,4915915.0
501.172,4916833.333333333
501.38,4986983.333333333
501.588,4955518.333333333
501.797,4995778.333333333
502.005,5021385.0
502.213,5006393.333333333
502.421,4981085.0
502.63,5032543.333333333
502.838,5011831.666666667
503.046,5023456.666666667
503.254,4970963.333333333
503.462,5010395.0
503.67,4984945.0
503.879,5035625.0
504.087,5057860.0
504.295,5041240.0
504.503,5077461.666666667
504.711,5080165.0
504.919,5100065.0
505.127,5135215.0
505.335,5098703.333333333
505.543,5143843.333333333
505.751,5196780.0
505.959,5168675.0
506.167,5188070.0
506.375,5213553.333333333
506.583,5219915.0
506.791,5223260.0
506.999,5252798.333333333
507.207,5292970.0
507.415,5259810.0
507.623,5294315.0
507.831,5287968.333333333
508.039,5316535.0
508.246,5231871.666666666
508.454,5338363.333333333
508.662,5306766.666666666
508.87,5313306.666666667
509.078,5351363.333333333
509.286,5352528.333333333
509.493,5324365.0
509.701,5381405.0
509.909,5413126.666666666
510.117,5359078.333333333
510.324,5443765.0
510.532,5418523.333333333
510.74,5428336.666666667
510.947,5462395.0
511.155,5438228.333333333
511.363,5462521.666666666
511.57,5419060.0
511.778,5471593.333333333
511.986,5465854.999999999
512.193,5469961.666666666
512.401,5465873.333333333
512.609,5473621.666666667
512.816,5466066.666666667
513.024,5505691.666666667
513.231,5444106.666666666
513.439,5538193.333333334
513.646,5518201.666666666
513.854,5537868.333333333
514.061,5573223.333333333
514.269,5585921.666666666
514.476,5590116.666666666
514.684,5619913.333333334
514.891,5593881.666666667
515.099,5645175.0
515.306,5615906.666666667
515.513,5696971.666666667
515.721,5631648.333333333
515.928,5740990.0
516.135,5679956.666666666
516.343,5730620.0
516.55,5725231.666666666
516.757,5748536.666666667
516.965,5682483.333333333
517.172,5730446.666666667
517.379,5704580.0
517.587,5769723.333333333
517.794,5736225.0
518.001,5781840.0
518.208,5757756.666666667
518.416,5801580.0
518.623,5784706.666666666
518.83,5833828.333333333
519.037,5787360.0
519.244,5872531.666666667
519.451,5841576.666666666
519.659,5844068.333333334
519.866,5832824.999999999
520.073,5916440.0
520.28,5858680.0
520.487,5900155.0
520.694,5877981.666666666
520.901,5950650.0
521.108,5928185.0
521.315,5947018.333333333
521.522,5924180.0
521.729,5966911.666666667
521.936,6013321.666666667
522.143,6014073.333333334
522.35,5994013.333333334
522.557,5997316.666666667
522.764,6034586.666666666
522.971,6039573.333333334
523.178,6016100.0
523.385,6070965.0
523.592,6016536.666666667
523.799,6088103.333333334
524.005,6075655.0
524.212,6129376.666666667
524.419,6083826.666666666
524.626,6130001.666666667
524.833,6126465.0
525.04,6118850.0
525.246,6180463.333333333
525.453,6142211.666666666
525.66,6152621.666666667
525.867,6239028.333333333
526.073,6225895.0
526.28,6248770.0
526.487,6266595.0
526.693,6290476.666666667
526.9,6282663.333333334
527.107,6358148.333333333
527.313,6301768.333333333
527.52,6301270.0
527.727,6339560.0
527.933,6333003.333333333
528.14,6316421.666666666
528.346,6409156.666666667
528.553,6329750.0
528.759,6338345.0
528.966,6345256.666666667
529.173,6405538.333333334
529.379,6368900.0
529.586,6364750.0
529.792,6404078.333333333
529.999,6428366.666666666
530.205,6418266.666666666
530.411,6461660.0
530.618,6423536.666666667
530.824,6419031.666666667
531.031,6420341.666666667
531.237,6426188.333333333
531.443,6456949.999999999
531.65,6518518.333333333
531.856,6499275.0
532.062,6484351.666666667
532.269,6520208.333333333
532.475,6519115.0
532.681,6542043.333333334
532.888,6541695.0
533.094,6532656.666666667
533.3,6569068.333333334
533.506,6475698.333333334
533.713,6552935.0
533.919,6554446.666666667
534.125,6592971.666666667
534.331,6626818.333333334
534.538,6633546.666666666
534.744,6716696.666666667
534.95,6722315.0
535.156,6703416.666666667
535.362,6744296.666666666
535.568,6762875.0
535.774,6790006.666666667
535.98,6776931.666666666
536.186,6811828.333333333
536.393,6768663.333333334
536.599,6841949.999999999
536.805,6825508.333333334
537.011,6880978.333333334
537.217,6885811.666666667
537.423,6873595.0
537.629,6863761.666666666
537.835,6954248.333333333
538.04,6914513.333333333
538.246,6940806.666666666
538.452,6937726.666666667
538.658,6968535.0
538.864,6863720.0
539.07,6942683.333333333
539.276,6881865.0
539.482,6936289.999999999
539.688,6946536.666666667
539.893,6940976.666666667
540.099,6915626.666666667
540.305,6989333.333333333
540.511,6977706.666666666
540.717,6968764.999999999
540.922,7014365.0
541.128,7036576.666666666
541.334,6996828.333333333
541.54,7094281.666666667
541.745,7057393.333333333
541.951,7042821.666666667
542.157,7041391.666666666
542.362,7064633.333333334
542.568,7058783.333333333
542.774,7085126.666666667
542.979,7077535.0
543.185,7095960.0
543.39,7086136.666666666
543.596,7167116.666666666
543.802,7132830.0
544.007,7158139.999999999
544.213,7165383.333333334
544.418,7168953.333333333
544.624,7186316.666666667
544.829,7196198.333333334
545.035,7180275.0
545.24,7215190.0
545.446,7226931.666666666
545.651,7329023.333333333
545.857,7273324.999999999
546.062,7292740.0
546.267,7283916.666666667
546.473,7350068.333333334
546.678,7365108.333333333
546.884,7333473.333333333
547.089,7325093.333333333
547.294,7394523.333333333
547.5,7346443.333333334
547.705,7354259.999999999
547.91,7355949.999999999
548.116,7348798.333333333
548.321,7436346.666666667
548.526,7402513.333333333
548.731,7363893.333333333
548.937,7443821.666666667
549.142,7415971.666666667
549.347,7470171.666666666
549.552,7440988.333333333
549.757,7503926.666666666
549.963,7453263.333333333
550.168,7447913.333333334
550.373,7439001.666666667
550.578,7437421.666666666
550.783,7443821.666666667
550.988,7417785.0
551.193,7463011.666666666
551.398,7454074.999999999
551.603,7435578.333333333
551.808,7438896.666666666
552.013,7401821.666666667
552.218,7434930.0
552.424,7474428.333333333
552.628,7443675.0
552.833,7516626.666666667
553.038,7501475.0
553.243,7517565.0
553.448,7572028.333333333
553.653,7602456.666666666
553.858,7587073.333333334
554.063,7561648.333333333
554.268,7612419.999999999
554.473,7596613.333333333
554.678,7644876.666666667
554.883,7627425.0
555.087,7678039.999999999
555.292,7632486.666666666
555.497,7704104.999999999
555.702,7638538.333333334
555.907,7662933.333333333
556.111,7681911.666666667
556.316,7634651.666666667
556.521,7630036.666666667
556.725,7663193.333333334
556.93,7618725.0
557.135,7656776.666666667
557.34,7649928.333333333
557.544,7637276.666666667
557.749,7701633.333333334
557.954,7666995.0
558.158,7703294.999999999
558.363,7701698.333333334
558.567,7691598.333333333
558.772,7716596.666666667
558.977,7695565.0
559.181,7744528.333333333
559.386,7701995.0
559.59,7736530.0
559.795,7713101.666666667
559.999,7754030.0
