Wavelength(nm),Intensity
449.75,5830.18
449.961,5912.38
450.173,5847.93
450.384,5820.04
450.596,5852.05
450.807,5865.59
451.018,5938.39
451.23,6009.13
451.441,5840.19
451.652,6025.16
451.864,6068.85
452.075,5889.96
452.286,6036.12
452.498,6105.1
452.709,6010.44
452.92,5989.12
453.131,6152.2
453.343,6163.89
453.554,6159.0
453.765,6303.48
453.976,6260.31
454.187,6298.49
454.399,6343.72
454.61,6460.91
454.821,6517.47
455.032,6518.33
455.243,6351.38
455.454,6454.19
455.665,6729.07
455.877,6589.77
456.088,6570.66
456.299,6617.91
456.51,6742.22
456.721,6690.77
456.932,6750.86
457.143,6822.62
457.354,7045.63
457.565,6929.96
457.776,6921.78
457.987,6975.87
458.198,6995.08
458.409,7026.74
458.62,7017.32
458.83,7054.6
459.041,7105.86
459.252,7151.83
459.463,7318.91
459.674,7332.48
459.885,7276.41
460.096,7528.68
460.306,7385.42
460.517,7538.76
460.728,7579.12
460.939,7603.41
461.15,7418.29
461.36,7735.85
461.571,7921.73
461.782,7849.06
461.993,7738.35
462.203,8043.48
462.414,7928.75
462.625,7996.72
462.835,8236.6
463.046,8273.18
463.257,8299.08
463.467,8164.41
463.678,8347.17
463.889,8401.09
464.099,8464.6
464.31,8605.38
464.52,8524.98
464.731,8645.13
464.941,8664.32
465.152,8694.2
465.362,8875.49
465.573,8990.21
465.783,9010.0
465.994,8908.58
466.204,9099.25
466.415,9440.34
466.625,9415.96
466.836,9221.45
467.046,9540.67
467.257,9347.4
467.467,9569.81
467.677,9544.0
467.888,9629.83
468.098,9759.45
468.308,9970.1
468.519,9911.9
468.729,10193.23
468.939,10363.76
469.15,10316.85
469.36,10181.56
469.57,10292.02
469.78,10612.37
469.991,10389.9
470.201,10832.81
470.411,10681.02
470.621,11104.27
470.831,10791.34
471.042,11062.06
471.252,11251.15
471.462,10956.55
471.672,11210.62
471.882,11428.01
472.092,11317.42
472.302,11462.56
472.512,11594.98
472.723,11786.59
472.933,11900.64
473.143,11897.1
473.353,12044.1
473.563,12188.61
473.773,12433.11
473.983,12234.46
474.193,12245.44
474.403,12696.95
474.613,12803.53
474.822,12862.76
475.032,12801.09
475.242,13034.3
475.452,13020.21
475.662,13227.19
475.872,13316.46
476.082,13395.15
476.292,13507.99
476.502,13534.9
476.711,13747.17
476.921,13825.9
477.131,13890.57
477.341,14059.73
477.551,14172.13
477.76,14138.95
477.97,14534.31
478.18,14542.67
478.39,14632.98
478.599,14716.25
478.809,14914.72
479.019,14821.95
479.228,15051.46
479.438,15279.83
479.648,15477.58
479.857,15493.19
480.067,15642.34
480.276,15575.07
480.486,15822.2
480.696,15938.83
480.905,15818.65
481.115,16091.52
481.324,16122.59
481.534,16254.58
481.743,16420.33
481.953,16478.49
482.162,16380.88
482.372,16680.54
482.581,16777.51
482.791,16746.05
483.0,17201.17
483.21,17198.59
483.419,17006.47
483.628,17388.09
483.838,17618.92
484.047,17553.16
484.257,17644.09
484.466,17736.7
484.675,18054.99
484.885,18000.7
485.094,18242.57
485.303,18135.23
485.512,18363.64
485.722,18461.84
485.931,18475.79
486.14,18679.32
486.349,18757.22
486.559,18865.54
486.768,19024.69
486.977,18921.94
487.186,19260.86
487.395,19188.11
487.605,19337.02
487.814,19401.66
488.023,19357.44
488.232,19725.13
488.441,19699.04
488.65,19763.14
488.859,19897.02
489.068,19915.29
489.277,20166.84
489.486,20260.94
489.695,20300.0
489.904,20370.14
490.113,20568.26
490.322,20702.53
490.531,20610.71
490.74,20942.59
490.949,20729.35
491.158,21115.35
491.367,21036.12
491.576,20968.6
491.785,21069.85
491.994,21091.68
492.203,21286.24
492.412,21126.07
492.62,21376.98
492.829,21477.8
493.038,21520.5
493.247,21694.97
493.456,21656.96
493.664,21937.63
493.873,22126.76
494.082,22080.03
494.291,22221.3
494.499,22270.37
494.708,22433.61
494.917,22373.89
495.126,22511.07
495.334,22535.58
495.543,22610.17
495.751,22632.33
495.96,22723.89
496.169,22646.31
496.377,22866.84
496.586,22814.49
496.795,22885.23
497.003,22853.36
497.212,22941.69
497.42,23150.81
497.629,23084.58
497.837,23219.54
498.046,23476.19
498.254,23348.64
498.463,23596.47
498.671,23438.59
498.88,23765.43
499.088,23741.16
499.297,23705.93
499.505,23740.89
499.713,23887.28
499.922,24016.26
500.13,23894.16
500.338,24028.67
500.547,24183.76
500.755,24231.97
500.963,24206.03
501.172,24171.21
501.38,24368.0
501.588,24196.42
501.797,24339.59
502.005,24445.6
502.213,24399.99
502.421,24321.49
502.63,24649.04
502.838,24650.03
503.046,24766.84
503.254,24544.99
503.462,24814.4
503.67,24629.18
503.879,24909.97
504.087,24888.94
504.295,24789.33
504.503,24898.65
504.711,24883.06
504.919,25013.05
505.127,25146.29
505.335,24911.04
505.543,25096.91
505.751,25295.5
505.959,25160.42
506.167,25258.33
506.375,25331.49
506.583,25256.2
506.791,25190.89
506.999,25268.25
507.207,25365.4
507.415,25193.74
507.623,25329.42
507.831,25406.16
508.039,25608.05
508.246,25191.26
508.454,25676.45
508.662,25511.11
508.87,25479.19
509.078,25620.31
509.286,25617.49
509.493,25359.57
509.701,25574.89
509.909,25719.19
510.117,25477.24
510.324,25853.99
510.532,25767.97
510.74,25809.48
510.947,26020.28
511.155,25898.0
511.363,26053.19
511.57,25837.46
511.778,26078.65
511.986,26016.84
512.193,26025.63
512.401,26023.43
512.609,26036.23
512.816,26017.09
513.024,26214.76
513.231,25895.31
513.439,26291.92
513.646,26167.49
513.854,26165.48
514.061,26215.94
514.269,26235.87
514.476,26216.82
514.684,26312.01
514.891,26127.25
515.099,26313.32
515.306,26111.42
515.513,26405.61
515.721,26048.34
515.928,26526.5
516.135,26258.6
516.343,26476.55
516.55,26507.6
516.757,26661.99
516.965,26436.92
517.172,26705.0
517.379,26625.35
517.587,26928.74
517.794,26722.84
518.001,26888.95
518.208,26719.85
518.416,26850.77
518.623,26777.76
518.83,26958.25
519.037,26734.47
519.244,27138.92
519.451,26998.6
519.659,27035.52
519.866,26987.02
520.073,27334.87
520.28,27041.42
520.487,27221.29
520.694,27009.98
520.901,27267.92
521.108,27049.86
521.315,27074.33
521.522,26915.33
521.729,27018.58
521.936,27169.01
522.143,27201.47
522.35,27098.95
522.557,27090.55
522.764,27318.84
522.971,27350.25
523.178,27226.23
523.385,27443.54
523.592,27141.11
523.799,27467.23
524.005,27331.29
524.212,27552.18
524.419,27329.98
524.626,27481.88
524.833,27463.14
525.04,27485.11
525.246,27717.68
525.453,27590.01
525.66,27565.35
525.867,27914.47
526.073,27754.48
526.28,27819.56
526.487,27815.37
526.693,27860.77
526.9,27761.85
527.107,28037.26
527.313,27748.54
527.52,27646.63
527.727,27804.82
527.933,27754.56
528.14,27627.77
528.346,28115.27
528.553,27855.16
528.759,27947.71
528.966,27989.46
529.173,28244.52
529.379,28138.37
529.586,28131.82
529.792,28297.13
529.999,28377.0
530.205,28281.38
530.411,28531.99
530.618,28441.12
530.824,28439.42
531.031,28543.46
531.237,28570.84
531.443,28731.65
531.65,28987.46
531.856,28841.67
532.062,28747.85
532.269,28790.04
532.475,28725.79
532.681,28771.46
532.888,28702.63
533.094,28657.82
533.3,28793.13
533.506,28364.43
533.713,28655.32
533.919,28652.15
534.125,28773.0
534.331,28819.98
534.538,28774.94
534.744,29033.17
534.95,29023.22
535.156,28819.9
535.362,28908.1
535.568,28977.38
535.774,29005.52
535.98,28884.3
536.186,29013.04
536.393,28780.0
536.599,29014.58
536.805,28926.0
537.011,29098.01
537.217,29046.95
537.423,28979.51
537.629,28874.74
537.835,29201.47
538.04,29068.5
538.246,29160.27
538.452,29216.65
538.658,29386.53
538.864,28989.61
539.07,29377.41
539.276,29179.5
539.482,29453.05
539.688,29550.41
539.893,29523.52
540.099,29466.09
540.305,29699.23
540.511,29623.33
540.717,29554.05
540.922,29701.42
541.128,29749.78
541.334,29455.44
541.54,29907.69
541.745,29691.72
541.951,29620.24
542.157,29669.41
542.362,29724.61
542.568,29742.42
542.774,29847.52
542.979,29740.64
543.185,29730.03
543.39,29630.07
543.596,29943.57
543.802,29779.66
544.007,29903.89
