,,,-9.823998880E-6,32.00000152E-3,,,,,-9.823998880E-6,35.00000015E-3,
,,,-9.821998901E-6,34.00000185E-3,,,,,-9.821998901E-6,29.00000103E-3,
,,,-9.819998922E-6,32.00000152E-3,,,,,-9.819998922E-6,32.99999982E-3,
,,,-9.817998944E-6,32.00000152E-3,,,,,-9.817998944E-6,31.00000136E-3,
,,,-9.815998965E-6,34.00000185E-3,,,,,-9.815998965E-6,31.00000136E-3,
,,,-9.813998986E-6,36.00000218E-3,,,,,-9.813998986E-6,31.00000136E-3,
,,,-9.811999007E-6,34.00000185E-3,,,,,-9.811999007E-6,31.00000136E-3,
,,,-9.809999028E-6,32.00000152E-3,,,,,-9.809999028E-6,31.00000136E-3,
,,,-9.807999049E-6,34.00000185E-3,,,,,-9.807999049E-6,32.99999982E-3,
,,,-9.805999071E-6,32.00000152E-3,,,,,-9.805999071E-6,32.99999982E-3,
,,,-9.803999092E-6,32.00000152E-3,,,,,-9.803999092E-6,31.00000136E-3,
,,,-9.801999113E-6,36.00000218E-3,,,,,-9.801999113E-6,31.00000136E-3,
,,,-9.799999134E-6,34.00000185E-3,,,,,-9.799999134E-6,31.00000136E-3,
,,,-9.797999155E-6,32.00000152E-3,,,,,-9.797999155E-6,32.99999982E-3,
,,,-9.795999176E-6,32.00000152E-3,,,,,-9.795999176E-6,31.00000136E-3,
,,,-9.793999197E-6,32.00000152E-3,,,,,-9.793999197E-6,31.00000136E-3,
,,,-9.791999219E-6,34.00000185E-3,,,,,-9.791999219E-6,31.00000136E-3,
,,,-9.789999240E-6,32.00000152E-3,,,,,-9.789999240E-6,35.00000015E-3,
,,,-9.787999261E-6,34.00000185E-3,,,,,-9.787999261E-6,31.00000136E-3,
,,,-9.785999282E-6,30.00000119E-3,,,,,-9.785999282E-6,32.99999982E-3,
,,,-9.783999303E-6,34.00000185E-3,,,,,-9.783999303E-6,32.99999982E-3,
,,,-9.781999324E-6,34.00000185E-3,,,,,-9.781999324E-6,35.00000015E-3,
,,,-9.779999345E-6,34.00000185E-3,,,,,-9.779999345E-6,32.99999982E-3,
,,,-9.777999367E-6,34.00000185E-3,,,,,-9.777999367E-6,29.00000103E-3,
,,,-9.775999388E-6,34.00000185E-3,,,,,-9.775999388E-6,35.00000015E-3,
,,,-9.773999409E-6,32.00000152E-3,,,,,-9.773999409E-6,32.99999982E-3,
,,,-9.771999430E-6,34.00000185E-3,,,,,-9.771999430E-6,32.99999982E-3,
,,,-9.769999451E-6,36.00000218E-3,,,,,-9.769999451E-6,32.99999982E-3,
,,,-9.767999472E-6,34.00000185E-3,,,,,-9.767999472E-6,31.00000136E-3,
,,,-9.765999494E-6,36.00000218E-3,,,,,-9.765999494E-6,35.00000015E-3,
,,,-9.763999515E-6,32.00000152E-3,,,,,-9.763999515E-6,35.00000015E-3,
,,,-9.761999536E-6,34.00000185E-3,,,,,-9.761999536E-6,31.00000136E-3,
,,,-9.759999557E-6,32.00000152E-3,,,,,-9.759999557E-6,32.99999982E-3,
,,,-9.757999578E-6,30.00000119E-3,,,,,-9.757999578E-6,31.00000136E-3,
,,,-9.755999599E-6,34.00000185E-3,,,,,-9.755999599E-6,31.00000136E-3,
,,,-9.753999620E-6,36.00000218E-3,,,,,-9.753999620E-6,31.00000136E-3,
,,,-9.751999642E-6,34.00000185E-3,,,,,-9.751999642E-6,31.00000136E-3,
,,,-9.749999663E-6,30.00000119E-3,,,,,-9.749999663E-6,35.00000015E-3,
,,,-9.747999684E-6,34.00000185E-3,,,,,-9.747999684E-6,31.00000136E-3,
,,,-9.745999705E-6,32.00000152E-3,,,,,-9.745999705E-6,32.99999982E-3,
,,,-9.743999726E-6,34.00000185E-3,,,,,-9.743999726E-6,31.00000136E-3,
,,,-9.741999747E-6,30.00000119E-3,,,,,-9.741999747E-6,32.99999982E-3,
